# Wikidata Lexemes (CC0 1.0), Danish (Q9035) lexemes whose lemma contains a space. Retrieved 2026-09-25 via https://qlever.dev/api/wikidata with:
# SELECT ?l ?lemma ?cat WHERE { ?l dct:language wd:Q9035 ; wikibase:lemma ?lemma ; wikibase:lexicalCategory ?cat . FILTER(CONTAINS(STR(?lemma), " ")) }
<http://www.wikidata.org/entity/L1010948>	"male fanden på væggen"@da	<http://www.wikidata.org/entity/Q184511>
<http://www.wikidata.org/entity/L1012180>	"andre boller på suppen"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1012202>	"man skal ikke flyve højere end vingerne kan bære"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1012205>	"tage munden for fuld"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1012253>	"historisk tid"@da	<http://www.wikidata.org/entity/Q5456361>
<http://www.wikidata.org/entity/L1013930>	"at ryge op i det røde felt"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1073522>	"Mardi Gras"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1077908>	"up to date"@da	<http://www.wikidata.org/entity/Q34698>
<http://www.wikidata.org/entity/L1079854>	"World Wide Web"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1079959>	"en bar røv at trutte i"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1079960>	"at have julelys i øjnene"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1080051>	"sous vide"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1097213>	"ikke mange sure sild værd"@da	<http://www.wikidata.org/entity/Q357760>
<http://www.wikidata.org/entity/L1097453>	"ikke et øje"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1097454>	"ugler i mosen"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1097456>	"løbe med en halv vind"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1097457>	"dele sol og vind lige"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1097842>	"på nul komma fem"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1097849>	"i tide og utide"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1097865>	"nissen flytter med"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1097879>	"være in"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1097928>	"hold på hat og briller"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1097930>	"gå galt"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1098842>	"hvis og hvis min rød er spids"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1098849>	"is i maven"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1116973>	"splitte mine bramsejl"@da	<http://www.wikidata.org/entity/Q83034>
<http://www.wikidata.org/entity/L1117990>	"gammel gris"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1120301>	"hænge med mulen"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1124421>	"New Zealand"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1124775>	"gud fader bevares"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1130644>	"nogen sinde"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1132047>	"at sende aben videre"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1139631>	"være kold i røven"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1139652>	"skide i noget"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L1140401>	"glimt i øjet"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1142131>	"have huden fuld"@da	<http://www.wikidata.org/entity/Q10976085>
<http://www.wikidata.org/entity/L1144721>	"in natura"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1144722>	"a conto"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1144724>	"en suite"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1144752>	"gå i vasken"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1149264>	"Politiets Efterretningstjeneste"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1149601>	"den er let at lokke, som gerne vil hoppe"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1153143>	"jord til jord-missil"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1153533>	"åbent hus-arrangement"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1153914>	"fait accompli"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1154090>	"perpetuum mobile"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1154113>	"nomen actionis"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1154116>	"sine qua non"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1154130>	"poste restante-brev"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1154345>	"børn og unge-udvalg"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1154383>	"frys selv-is"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1154453>	"hotel garni"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1159185>	"sejle sin egen sø"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1159437>	"rock and roll-band"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1159549>	"a conto-beløb"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1159978>	"golden delicious-æble"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1161746>	"røv og nøgler"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1162092>	"holde gode miner"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1162093>	"holde masken"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1162298>	"chili con carne"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1162340>	"curriculum vitae"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1162973>	"put and take-fiskeri"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1163208>	"sous vide"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1175186>	"knæk og bræk"@da	<http://www.wikidata.org/entity/Q83034>
<http://www.wikidata.org/entity/L1182476>	"jord til luft-missil"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1182844>	"missing link"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1182849>	"bel canto"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1182894>	"carte blanche"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1182909>	"tag selv-bord"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1182999>	"tænd og sluk-ur"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1183251>	"delirium tremens"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1183292>	"væg til væg-tæppe"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1183296>	"pop op-vindue"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1183539>	"børne- og ungeudvalg"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1183682>	"gå hjem-møde"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1183854>	"faux pas"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1183996>	"broderie anglaise"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1184477>	"nomen agentis"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1184488>	"laissez faire"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1184629>	"memento mori"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1184883>	"castrum doloris"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1185019>	"belle de boskoop"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1185279>	"open source-program"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1185378>	"enfant terrible"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1185535>	"først til mølle-princip"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1185747>	"aber dabei"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1185858>	"fuldt stop-skilt"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1185930>	"hold kæft-bolsje"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1186069>	"vugge til grav-princip"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1186420>	"joint venture"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1186490>	"alter ego"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1187982>	"knytte sylten"@da	<http://www.wikidata.org/entity/Q24905>
<http://www.wikidata.org/entity/L1191836>	"løbe spidsrod"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1191837>	"tage sig sammen"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1196732>	"øvelse gør mester"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1207800>	"pakke ind i vat og bomuld"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L1214280>	"dyt i bamsen"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1214368>	"være skudt i nogen"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1214408>	"ikke den skarpeste kniv i skuffen"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1215800>	"være på røven"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1216127>	"være på skideren"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1216944>	"Alzheimers sygdom"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1216945>	"Parkinsons syge"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1216946>	"Parkinsons sygdom"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1217297>	"være på trapperne"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1217462>	"have både til gården og gaden"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1217534>	"filmen knækker"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1217906>	"at have sommerfugle i maven"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1217907>	"at gå som katten om den varme grød"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1217908>	"ligne en hængt kat"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1217910>	"ligne noget, som katten har slæbt ind"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1217916>	"sidde lårene af"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1217933>	"flaske sig"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1218343>	"det var kattens"@da	<http://www.wikidata.org/entity/Q104692917>
<http://www.wikidata.org/entity/L1218345>	"da fanden blev gammel, gik han i kloster"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1218346>	"fanden og hans pumpestok"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1218377>	"før fanden får sko på"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1218378>	"give fanden i noget"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1218379>	"hvad fanden"@da	<http://www.wikidata.org/entity/Q104692917>
<http://www.wikidata.org/entity/L1218441>	"fanden stejle mig"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1218443>	"fanden gale mig"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1218444>	"købe katten i sækken"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1218445>	"i pose og i sæk"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1218447>	"have ben i næsen"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1218448>	"du må have spist søm"@da	<http://www.wikidata.org/entity/Q83034>
<http://www.wikidata.org/entity/L1218492>	"læse noget som fanden læser bibelen"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1218495>	"brændt barn skyr ilden"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1218501>	"held og lykke"@da	<http://www.wikidata.org/entity/Q83034>
<http://www.wikidata.org/entity/L1218534>	"lediggang er roden til alt ondt"@da	<http://www.wikidata.org/entity/Q35102>
<http://www.wikidata.org/entity/L1218844>	"det ved den søde grød"@da	<http://www.wikidata.org/entity/Q3257782>
<http://www.wikidata.org/entity/L1218850>	"være helt fremme i skoene"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L1218851>	"spidsen af en jetjager"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1218933>	"piben får en anden lyd"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1219582>	"rolig nu"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1219584>	"ah ja ja ja ja"@da	<http://www.wikidata.org/entity/Q83034>
<http://www.wikidata.org/entity/L1219591>	"knalde brikker"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1219670>	"kaste perler for svin"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1219674>	"gå agurk"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1219676>	"ingen ko på isen"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1219700>	"kold som en brøndgravers røv"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1220040>	"på dupperne"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1220468>	"for at narre fjenden i Ålborg"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1220691>	"intet nyt under solen"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1220903>	"tage sorgerne på forskud"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1221036>	"ævl og kævl"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1221037>	"ævl og bævl"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1222843>	"ikke stikke op for bollemælk"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1222844>	"stikke op"@da	<http://www.wikidata.org/entity/Q24905>
<http://www.wikidata.org/entity/L1222846>	"lave en scene"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1222847>	"tage bolig"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1224139>	"en ulykke kommer sjældent alene"@da	<http://www.wikidata.org/entity/Q35102>
<http://www.wikidata.org/entity/L1224269>	"en skrue uden ende"@da	<http://www.wikidata.org/entity/Q1401131>
<http://www.wikidata.org/entity/L1225471>	"ikke ville røre nogen med en ildtang"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L1225658>	"jyske dollar"@da	<http://www.wikidata.org/entity/Q1401131>
<http://www.wikidata.org/entity/L1225659>	"sorte penge"@da	<http://www.wikidata.org/entity/Q1401131>
<http://www.wikidata.org/entity/L1226649>	"som man reder ligger man"@da	<http://www.wikidata.org/entity/Q35102>
<http://www.wikidata.org/entity/L1226650>	"så er den ged barberet"@da	<http://www.wikidata.org/entity/Q3734650>
<http://www.wikidata.org/entity/L1226651>	"sommerfugle i maven"@da	<http://www.wikidata.org/entity/Q1401131>
<http://www.wikidata.org/entity/L1226652>	"skelet i skabet"@da	<http://www.wikidata.org/entity/Q1401131>
<http://www.wikidata.org/entity/L1226661>	"elefanten i rummet"@da	<http://www.wikidata.org/entity/Q1401131>
<http://www.wikidata.org/entity/L1227061>	"arbejde som en hest"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L1227933>	"Gud og hvermand"@da	<http://www.wikidata.org/entity/Q3734650>
<http://www.wikidata.org/entity/L1229637>	"for øvrigt"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1229638>	"con amore"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1229661>	"al dente"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1229662>	"all right"@da	<http://www.wikidata.org/entity/Q34698>
<http://www.wikidata.org/entity/L1230118>	"rive den af"@da	<http://www.wikidata.org/entity/Q1778442>
